14,lick,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the woman licks,target,14525412,F1_Verb_intransitive_15,,M3_Verb_intransitive_15,,,5,7,1,
,,P1,the woman kicks,mp,4710661,,,,,,,,,
,,P2,the woman clicks,mp,323986271,,,,,,,,,
,,P3,the woman lifts,mp,295626266,,,,,,,,,
,,S1,the woman eats,assoc,12212707,,,,,,,,,
,,S2,the woman drinks,assoc,42959693,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
15,knock,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the man knocks,target,30886078,,M2_Verb_intransitive_16,,F2_Verb_intransitive_16,,7,6,1,
,,P1,the man knots,mp,200609186,,,,,,,,,
,,P2,the man rocks,mp,26845054,,,,,,,,,
,,P3,the man mops,distant,37984563,,,,,,,,,
,,S1,the man rings,coord,26105294,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the man reads,un,1373819,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
19,stand,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,The boy stands,target,150658016,,M2_Verb_intransitive_20,,F2_Verb_intransitive_20,,8,6,1,
,,P1,the boy stacks,mp,114518089,,,,,,,,,
,,P2,The boy sands,mp,222272809,,,,,,,,,
,,P3,The boy stinks,distant,8041488,,,,,,,,,
,,S1,The boy sits,coord,40588738,,,,,,,,,
,,S2,The boy kneels,coord,90344116,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
22,sleep,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,The man sleeps,target,50885688,,M2_Verb_intransitive_23,,F2_Verb_intransitive_23,,7,6,1,
,,P1,The man peeps,mp,49102078,,,,,,,,,
,,P2,The man weeps,mp,47099760,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The man wakes,assoc,53507634,,,,,,,,,
,,S2,The man relaxes,assoc,18346476,,,,,,,,,
,,Un,The man cuts,un,10681814,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
23,write,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,The boy writes,target,49095394,,M2_Verb_intransitive_24,,F2_Verb_intransitive_24,,7,6,1,
,,P1,The boy bites,mp,13873732,,,,,,,,,
,,P2,The boy rides,mp,34482521,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The boy types,coord,28180400,,,,,,,,,
,,S2,The boy draws,assoc,40769832,,,,,,,,,
,,Un,The boy sleeps,un,51871363,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
24,sing,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,The girl sings,target,917512,,M2_Verb_intransitive_25,,F2_Verb_intransitive_25,,7,6,1,
,,P1,The girl rings,mp,26515435,,,,,,,,,
,,P2,The girl swings,mp,49071878,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The girl laughs,coord,45387273,,,,,,,,,
,,S2,The girl dances,assoc,40811971,,,,,,,,,
,,Un,The girl jumps,un,37824493,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
26,sift,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the man sifts,target,432902254,F1_Verb_intransitive_27,,M3_Verb_intransitive_27,,,4,5,1,
,,P1,the man lifts,mp,300754643,,,,,,,,,
,,P2,the man drifts,mp,143702194,,,,,,,,,
,,P3,the man sits,mp,29524396,,,,,,,,,
,,S1,the man bakes,assoc,49245224,,,,,,,,,
,,S2,the man mixes,assoc,244303159,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
27,drift,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the man drifts,target,143702194,F1_Verb_intransitive_28,,M3_Verb_intransitive_28,,,5,3,1,
,,P1,the man lifts,mp,300754643,,,,,,,,,
,,P2,the man drills,close,160490927,,,,,,,,,
,,P3,the man drinks,close,19031322,,,,,,,,,
,,S1,the man swims,assoc,142342759,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the man sifts,un,432902254,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
28,drill,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the man drills,target,160490927,F1_Verb_intransitive_29,,M3_Verb_intransitive_29,,,4,6,1,
,,P1,the man grills,mp,136231922,,,,,,,,,
,,P2,the man drinks,close,19031322,,,,,,,,,
,,P3,the man spills,mp,187800929,,,,,,,,,
,,S1,the man sands,assoc,53703047,,,,,,,,,
,,S2,the man saws,assoc,112072841,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
29,sand,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,The guy sands,target,222272809,F1_Verb_intransitive_30,,M3_Verb_intransitive_30,,,3,5,1,
,,P1,The guy stands,mp,223069852,,,,,,,,,
,,P2,The guy fans,close,226174534,,,,,,,,,
,,P3,The guy scans,close,3322510,,,,,,,,,
