,,Target,the red cart,target,286018523,,F1_Noun_attributive_21,M3_Noun_attributive_21,,,5,7,1,
,,P1,the red dart,mp,316629386,,,,,,,,,
,,P2,the red card,mp,197727128,,,,,,,,,
,,P3,the red heart,mp,122500636,,,,,,,,,
,,S1,the red car,coord,9545845848,,,,,,,,,
,,S2,the red scooter,coord,228523927,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,fly,,Linguistic unit,P type,Image ID,Male 2,Female 1,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,the black fly,target,781520,,F1_Noun_attributive_22,M3_Noun_attributive_22,,,7,7,1,
,,P1,the black eye,mp,130786277,,,,,,,,,
,,P2,the black pie,mp,318698831,,,,,,,,,
,,P3,the black tie,mp,193059866,,,,,,,,,
,,S1,the black beetle,coord,71844580,,,,,,,,,
,,S2,the black glasses,coord,27276302,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,typewriter,,Linguistic unit,P type,Image ID,Male 2,Female 1,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,the yellow typewriter,target,328977077,,F1_Noun_attributive_23,M3_Noun_attributive_23,,,4,7,3,
,,P1,the yellow firefighter,distant,110384090,,,,,,,,,
,,P2,the yellow lighter,distant,58276510,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the yellow computer,coord,96741802,,,,,,,,,
,,S2,the yellow kettle,coord,68732179,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,the yellow raincoat,un,289942922,,,,,,,,,
,,,,,,,,,,,,,,
,rainbow,,Linguistic unit,P type,Image ID,Male 2,Female 1,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,the colourful rainbow,target,132632972,,F1_Noun_attributive_24,M3_Noun_attributive_24,,,6,7,2,
,,P1,the colourful crossbow,distant,79178638,,,,,,,,,
,,P2,the colourful raincoat,distant/coord,289942922,,,,,,,,,
,,P3,the colourful bow,distant,38261293,,,,,,,,,
,,S1,the colourful sunset,coord,15135205,,,,,,,,,
,,S2,the colourful umberella,coord,4096061,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,hug,,Linguistic unit,P type,Image ID,Male 2,Female 1,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
