12,eat,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he is eating,target,322932869,F1_Tense_progressive_12,M3_Tense_progressive_12,,,,5,3,1,
,,Foil 1,he was eating,past,2256795,,,,,,,,,
,,Foil 2,he will be eating,future,322563788,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
13,drink,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he is drinking,target,19031322,F1_Tense_progressive_13,M3_Tense_progressive_13,,,,3,3,1,
,,Foil 1,he was drinking,past,155377928,,,,,,,,,
,,Foil 2,he will be drinking,future,48997504,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
14,swim,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he is swimming,target,142342759,F1_Tense_progressive_14,M3_Tense_progressive_14,,,,3,3,1,
,,Foil 1,he was swimming,past,49643128,,,,,,,,,
,,Foil 2,he will be swimming,future,44352166,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
15,ski,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,she is skiing,target,127158875,F1_Tense_progressive_15,M3_Tense_progressive_15,,,,1,4,1,
,,Foil 1,she was skiing,past,228934687,,,,,,,,,
,,Foil 2,she will be skiing,future,280728410,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
16,paint,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,she is painting,target,5985495,F1_Tense_progressive_16,M3_Tense_progressive_16,,,,4,4,1,
,,Foil 1,she was painting,past,286392914,,,,,,,,,
,,Foil 2,she will be painting,future,249383818,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
17,carry,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he is carrying,target,310633880,F1_Tense_progressive_17,M3_Tense_progressive_17,,,,4,3,2,
,,Foil 1,he was carrying,past,73084216,,,,,,,,,
,,Foil 2,he will be carrying,future,181414709,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
18,lick,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he is licking,target,12805333,F1_Tense_progressive_18,M3_Tense_progressive_18,,,,2,4,1,
,,Foil 1,he was licking,past,987661,,,,,,,,,
,,Foil 2,he will be licking,future,47401462,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
19,run,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he will be running,target,7854577,F1_Tense_progressive_19,M3_Tense_progressive_19,,,,5,3,1,
,,Foil 1,he was running,past,223035967,,,,,,,,,
,,Foil 2,he is running,present,98478128,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
20,cycle,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he will be cycling,target,294504578,F1_Tense_progressive_20,M3_Tense_progressive_20,,,,1,4,2,
,,Foil 1,he was cycling,past,184460225,,,,,,,,,
,,Foil 2,he is cycling,present,311342414,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
21,eat,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he will be eating,target,322563788,F1_Tense_progressive_21,M3_Tense_progressive_21,,,,5,3,1,
,,Foil 1,he was eating,past,2256795,,,,,,,,,
,,Foil 2,he is eating,present,322932869,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
22,drink,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he will be drinking,target,48997504,F1_Tense_progressive_22,M3_Tense_progressive_22,,,,3,3,1,
,,Foil 1,he was drinking,past,155377928,,,,,,,,,
,,Foil 2,he is drinking,present,19031322,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
23,swim,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he will be swimming,target,44352166,F1_Tense_progressive_23,M3_Tense_progressive_23,,,,3,3,1,
,,Foil 1,he was swimming,past,49643128,,,,,,,,,
,,Foil 2,he is swimming,present,142342759,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
24,ski,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,she will be skiing,target,280728410,F1_Tense_progressive_24,M3_Tense_progressive_24,,,,1,4,1,
,,Foil 1,she was skiing,past,228934687,,,,,,,,,
,,Foil 2,she is skiing,present,127158875,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
25,paint,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,she will be painting,target,249383818,F1_Tense_progressive_25,M3_Tense_progressive_25,,,,4,4,1,
,,Foil 1,she was painting,past,286392914,,,,,,,,,
,,Foil 2,she is painting,present,5985495,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
26,carry,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he will be carrying,target,181414709,F1_Tense_progressive_26,M3_Tense_progressive_26,,,,4,3,2,
,,Foil 1,he was carrying,past,73084216,,,,,,,,,
,,Foil 2,he is carrying,present,310633880,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
27,lick,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he will be licking,target,47401462,F1_Tense_progressive_27,M3_Tense_progressive_27,,,,2,4,1,
,,Foil 1,he was licking,past,987661,,,,,,,,,
,,Foil 2,he is licking,present,12805333,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
