,dart,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,,,Freq bin,Conc bin,Syllable,
,,Target,the dart is red,target,316629386,F2_Noun_predicative_21,M1_Noun_predicative_21,,,,5,7,1,
,,P1,the art is red,mp,280914404,,,,,,,,,
,,P2,the cart is red,mp,286018523,,,,,,,,,
,,P3,the heart is red,mp,122500636,,,,,,,,,
,,S1,the bat is red,assoc,18570298,,,,,,,,,
,,S2,the dartboard is red,assoc,257619844,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,cart,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,,,Freq bin,Conc bin,Syllable,
,,Target,the cart is red,target,286018523,F2_Noun_predicative_22,M1_Noun_predicative_22,,,,5,7,1,
,,P1,the dart is red,mp,316629386,,,,,,,,,
,,P2,the card is red,mp,197727128,,,,,,,,,
,,P3,the heart is red,mp,122500636,,,,,,,,,
,,S1,the car is red,coord,9545845848,,,,,,,,,
,,S2,the scooter is red,coord,228523927,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,shore,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,,,Freq bin,Conc bin,Syllable,
,,Target,the shore is lovely,target,123456,F2_Noun_predicative_23,M1_Noun_predicative_23,,,,6,7,1,
,,P1,the door is lovely,mp,21225938,,,,,,,,,
,,P2,the  paw is lovely,mp,210504133,,,,,,,,,
,,P3,the  floor is lovely,mp,265076531,,,,,,,,,
,,S1,the boat  is lovely,coord,157824602,,,,,,,,,
,,S2,the  river  is lovely,coord,444242,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,fly,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,,,Freq bin,Conc bin,Syllable,
,,Target,the fly is black,target,781520,F2_Noun_predicative_28,M1_Noun_predicative_28,,,,7,7,1,
,,P1,the eye is black,mp,130786277,,,,,,,,,
,,P2,the pie is black,mp,318698831,,,,,,,,,
,,P3,the tie is black,mp,193059866,,,,,,,,,
,,S1,the beetle is black,coord,71844580,,,,,,,,,
,,S2,the glasses are black,coord,27276302,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,wall,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,,,Freq bin,Conc bin,Syllable,
,,Target,The wall is white,target,78006022,F2_Noun_predicative_30,M1_Noun_predicative_30,,,,8,7,1,
,,P1,The shawl is white,mp,322107491,,,,,,,,,
,,P2,the wool is white,mp,227068528,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The window is white,coord,192579188,,,,,,,,,
,,S2,The ceiling is white,coord,95775232,,,,,,,,,
,,Un,The floor is white,coord,73677388,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,neck,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,,,Freq bin,Conc bin,Syllable,
,,Target,The neck is grubby,target,174854807,F2_Noun_predicative_31,M1_Noun_predicative_31,,,,8,7,1,
,,P1,The deck is grubby,mp,191824013,,,,,,,,,
,,P2,The wreck is grubby,mp,51969808,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The necklace is grubby,subord,53877448,,,,,,,,,
,,S2,The ankle is grubby,coord,111294725,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,ceiling,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,,,Freq bin,Conc bin,Syllable,
,,Target,The ceiling is white,target,95775232,F2_Noun_predicative_34,M1_Noun_predicative_34,,,,6,7,2,
,,P1,the sail is white,distant,751659354,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The wall is white,coord,78006022,,,,,,,,,
,,S2,The floor is white,coord,73677388,,,,,,,,,
,,Un,The roof is white,un,186442634,,,,,,,,,
,,Un,The windowsill is white,un,165751670,,,,,,,,,
,,,,,,,,,,,,,,
,rainbow,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,,,Freq bin,Conc bin,Syllable,
,,Target,the rainbow is colourful,target,132632972,F2_Noun_predicative_35,M1_Noun_predicative_35,,,,6,7,2,
,,P1,the crossbow is colourful,distant,79178638,,,,,,,,,
,,P2,the raincoat is colourful,distant/coord,289942922,,,,,,,,,
,,P3,the bow is colourful,distant,38261293,,,,,,,,,
