,,Target,he ate,target,2256795,F1_Tense_simple_3,M3_Tense_simple_3,,,,5,3,1,
,,Foil 1,he eats,present,322932869,,,,,,,,,
,,Foil 2,he will eat,future,322563788,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
13,drink,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he drank,target,155377928,F1_Tense_simple_4,M3_Tense_simple_4,,,,3,3,1,
,,Foil 1,he drinks,present,19031322,,,,,,,,,
,,Foil 2,he will drink,future,48997504,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
14,swim,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he swam,target,49643128,F1_Tense_simple_5,M3_Tense_simple_5,,,,3,3,1,
,,Foil 1,he swims,present,142342759,,,,,,,,,
,,Foil 2,he will swim,future,44352166,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
15,ski,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,she skied,target,228934687,F1_Tense_simple_6,M3_Tense_simple_6,,,,1,4,1,
,,Foil 1,she skis,present,127158875,,,,,,,,,
,,Foil 2,she will ski,future,280728410,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
16,paint,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,she painted,target,286392914,F1_Tense_simple_7,M3_Tense_simple_7,,,,4,4,1,
,,Foil 1,she paints,present,5985495,,,,,,,,,
,,Foil 2,she will paint,future,249383818,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
17,carry,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he carried,target,73084216,F1_Tense_simple_8,M3_Tense_simple_8,,,,4,3,2,
,,Foil 1,he carries,present,310633880,,,,,,,,,
,,Foil 2,he will carry,future,181414709,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
18,lick,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he licked,target,987661,F1_Tense_simple_9,M3_Tense_simple_9,,,,2,4,1,
,,Foil 1,he licks,present,12805333,,,,,,,,,
,,Foil 2,he will lick,future,47401462,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
19,run,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he will run,target,7854577,F1_Tense_simple_19,M3_Tense_simple_19,,,,5,3,1,
,,Foil 1,he ran,past,223035967,,,,,,,,,
,,Foil 2,he runs,present,98478128,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
20,cycle,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he will cycle,target,294504578,F1_Tense_simple_20,M3_Tense_simple_20,,,,1,4,2,
,,Foil 1,he cycled,past,184460225,,,,,,,,,
,,Foil 2,he cycles,present,311342414,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
21,eat,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he will eat,target,322563788,F1_Tense_simple_21,M3_Tense_simple_21,,,,5,3,1,
,,Foil 1,he ate,past,2256795,,,,,,,,,
,,Foil 2,he eats,present,322932869,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
22,drink,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he will drink,target,48997504,F1_Tense_simple_22,M3_Tense_simple_22,,,,3,3,1,
,,Foil 1,he drank,past,155377928,,,,,,,,,
,,Foil 2,he drinks,present,19031322,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
