,,Foil 3,tissue,un,140848453,,,,,,,,,
,,other,toilet roll,un,36214166,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
11,his,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,child,Target,his child is young,target,42635120,,F2_Pronoun_posssentence_11,M3_Pronoun_posssentence_11,,,8,8,2,
,,Foil 1,her child is young,female,20327430,,,,,,,,,
,,Foil 2,their child is young,plural,205039681,,,,,,,,,
,,other,child is young,un,298044821,,,,,,,,,
,,other,child is young,un,125834756,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
12,his,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,cup,Target,his cup is huge,target,45209191,,F2_Pronoun_posssentence_12,M3_Pronoun_posssentence_12,,,6,8,1,
,,Foil 1,her cup is huge,female,79587922,,,,,,,,,
,,Foil 2,their cup is huge,plural,195169763,,,,,,,,,
,,other,huge cup,un,209171185,,,,,,,,,
,,other,small cup,un,61468480,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,her,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,food,Target,her food is tasty,target,240210358,F1_Pronoun_posssentence_13,,M3_Pronoun_posssentence_13,,,8,8,1,
,,Foil 1,his food is tasty,male,183077327,,,,,,,,,
,,Foil 2,their food is tasty,plural,207786421,,,,,,,,,
,,other,the cake is tasty,un,1684878,,,,,,,,,
,,other,the vegetable is tasty,un,35749240,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,her,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,water,Target,her water is refreshing,target,42316112,F1_Pronoun_posssentence_14,,M3_Pronoun_posssentence_14,,,8,8,2,
,,Foil 1,his water is refreshing,male,40568100,,,,,,,,,
,,Foil 2,their water is refreshing,plural,265464623,,,,,,,,,
,,other,water,un,12522351,,,,,,,,,
,,other,waterfall,un,262980617,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,her,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,bug,Target,her bug is horrid,target,209183563,F1_Pronoun_posssentence_15,,M3_Pronoun_posssentence_15,,,7,8,1,
,,Foil 1,his bug is horrid,male,107912372,,,,,,,,,
,,Foil 2,their bug is horrid,plural,16531051,,,,,,,,,
,,other,horrid bug,un,49532590,,,,,,,,,
,,other,lovely bug,un,172181477,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,her,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,hat,Target,her hat is warm,target,125317343,F1_Pronoun_posssentence_16,,M3_Pronoun_posssentence_16,,,8,8,1,
,,Foil 1,his hat is warm,male,28666396,,,,,,,,,
,,Foil 2,their hat is warm,plural,118708237,,,,,,,,,
,,other,the hat is warm,un,29252820,,,,,,,,,
,,other,the crown is warm,un,37385332,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5,her,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,grandchild,Target,her grandchild is healthy,target,200417396,F1_Pronoun_posssentence_17,,M3_Pronoun_posssentence_17,,,5,6,2,
,,Foil 1,his grandchild is healthy,male,293835122,,,,,,,,,
,,Foil 2,their grandchild is healthy,plural,280360607,,,,,,,,,
,,other,grandchild healthy,un,17985635,,,,,,,,,
,,other,rocking chair,un,3436172,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
