,,Target,the large cup,target,79587922,F1_Adjective_phrase_12,,,M3_Adjective_phrase_12,,8,4,1,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the tiny cup,sem,61468480,,,,,,,,,
,,S2,the average cup,sem,48948737,,,,,,,,,
,,Un,the crumpled cup,un,155377928,,,,,,,,,
,,Un,the paper cup,un,209171185,,,,,,,,,
,,,,,,,,,,,,,,
13,green,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,the green water,target,297737546,F1_Adjective_phrase_13,,,M3_Adjective_phrase_13,,8,6,1,
,,P1,the clean water,x,12522351,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the red water,sem,205900462,,,,,,,,,
,,S2,the blue water,sem,12522351,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,the sea/white water,un,11122122,,,,,,,,,
,,,,,,,,,,,,,,
14,small,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,the small cup,target,61468480,F1_Adjective_phrase_14,,,M3_Adjective_phrase_14,,8,4,1,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the big cup,sem,79587922,,,,,,,,,
,,S2,the average cup,sem,48948737,,,,,,,,,
,,Un,the fresh water,un,262980617,,,,,,,,,
,,Un,the paper cup,un,209171185,,,,,,,,,
,,,,,,,,,,,,,,
15,cold,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,the cold man,target,28666396,F1_Adjective_phrase_15,,,M3_Adjective_phrase_15,,8,5,1,
,,P1,the old man,mp,17244962,,,,,,,,,
,,P2,the bold man,mp,10681814,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the hot man,sem,278138576,,,,,,,,,
,,S2,the funny man,sem,161143730,,,,,,,,,
,,Un,the crumpled cup,un,155377928,,,,,,,,,
,,Un,the warm man,un,210760174,,,,,,,,,
,,,,,,,,,,,,,,
16,blue,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,The blue bag,target,6355906,F1_Adjective_phrase_16,,,M3_Adjective_phrase_16,,8,5,1,
,,P1,The new bag,mp,32278607,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,,,,,,,,,,
,,S1,The brown bag,sem,92516332,,,,,,,,,
,,S2,The big bag,sem,308566895,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,The leather bag,un,253140481,,,,,,,,,
,,,,,,,,,,,,,,
17,short,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,The short man,target,165957485,F1_Adjective_phrase_17,,,M3_Adjective_phrase_17,,8,5,1,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The tall man,sem,165772664,,,,,,,,,
,,S2,The bald man,sem,35314865,,,,,,,,,
,,Un,The shopping bag,un,92386033,,,,,,,,,
,,Un,The old man,un,17244962,,,,,,,,,
,,,,,,,,,,,,,,
