,,S1,The woman clears the food on the table,coord,6605013,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,The woman eats the food on the table,un,16601710,,,,,,,,,
,,Un,The woman decorates the food on the table,un,26721297,,,,,,,,,
,,,,,,,,,,,,,,
12,give,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,He gives the boy a gift,target,35437248,,M2_Verb_ditransitive_12,,F2_Verb_ditransitive_12,,8,3,1,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,He makes the boy a gift,un,10907459,,,,,,,,,
,,Un,He buys the boy a gift,un,27203571,,,,,,,,,
,,Un,He hides the boy a gift,un,11834361,,,,,,,,,
,,,,,,,,,,,,,,
14,allow,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,He allows the boy to leave,target,44336973,,M2_Verb_ditransitive_14,,F2_Verb_ditransitive_14,,6,4,2,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,He tells the boy to leave,un,17957811,,,,,,,,,
,,Un,He forbids the boy to leave,un,20831195,,,,,,,,,
,,Un,*,un,39236048,,,,,,,,,
,,,,,,,,,,,,,,
16,break,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,he breaks his guests some bread,target,19579305,F1_Verb_ditransitive_16,,M3_Verb_ditransitive_16,,,8,5,1,
,,P1,he bakes his guests some bread,mp,317198153,,,,,,,,,
,,P2,he makes his guests some bread,mp,261246989,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,he slices his guests some bread,coord,286407695,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,he butters his guests some  bread,un,46162896,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
17,make,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,he makes his guests some bread,target,261246989,F1_Verb_ditransitive_17,,M3_Verb_ditransitive_17,,,8,3,1,
,,P1,he breaks his guests some bread,mp,19579305,,,,,,,,,
,,P2,he bakes his guests some bread,mp,317198153,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,he slices his guests some bread,coord,286407695,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,he butters his guests some  bread,un,46162896,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,bake,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,The lady bakes the customers some cupcakes,target,74529160,F1_Verb_ditransitive_1,,M3_Verb_ditransitive_1,,,6,6,1,
,,P1,The lady takes the customers some cupcakes,mp,301690625,,,,,,,,,
,,P2,The lady makes the customers some cupcakes,mp,119454553,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,The lady sells the customers some cupcakes,un,315490829,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,buy,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,She buys him a balloon,target,40068540,,M2_Verb_ditransitive_8,,F2_Verb_ditransitive_8,,8,4,1,
,,P1,She blows him a balloon,distant,51162910,,,,,,,,,
,,P2,She ties him a balloon,mp,7257356,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,She kicks him a balloon,un,45052858,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,She throws him a balloon,un,50690772,,,,,,,,,
,,Un,She paints him a ballon,un,34053529,,,,,,,,,
,,,,,,,,,,,,,,
A,serve,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,the barista serves the customer a hot chocolate,target,253353463,,M2_verb_ditransitive_19,,F2_Verb_ditransitive_19,,7,5,1,
,,P1,the barista sieves the customer a hot chocolate,mp,214900837,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,the barista takes the customer a hot chocolate,un,231123181,,,,,,,,,
,,Un,the barista prepares the customer a hot chocolate,un,323409026,,,,,,,,,
,,Un,the barista makes the customer a hot chocolate,un,306914240,,,,,,,,,
,,,,,,,,,,,,,,
A,paint,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,she paints the person an egg,target,184551248,,M2_verb_ditransitive_20,,F2_Verb_ditransitive_20,,7,7,1,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,she buys the person an egg,un,250029712,,,,,,,,,
