,,Foil 2,above the clouds,foil 2,42196282,,,,,,,,,
,,Foil 3,x,x,x,,,,,,,,,
,,Other,plane,other,119845582,,,,,,,,,
,,Other,cloud,other,34993927,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
11,in,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the cat is in the bag,target,12114250,,M1_Preposition_sentence_55,,,,5,1,1,
,,Foil 1,the cat is on the bag,foil 1,203096440,,,,,,,,,
,,Foil 2,the cat is between the bags,foil 2,269070035,,,,,,,,,
,,Foil 3,the cat is beside the bag,foil 3,12114247,,,,,,,,,
,,Other,the cat is above the bag,other,154116686,,,,,,,,,
,,Other,the cat is under the bag,other,138372416,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
12,in,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the cat is in the bowl,target,3313081,,M1_Preposition_sentence_56,,,,5,1,1,
,,Foil 1,the cat is by the bowl,foil 1,3172869,,,,,,,,,
,,Foil 2,the cat is on the bowl,foil 2,260805896,,,,,,,,,
,,Foil 3,the cat is behind the bowl,foil 3,105952298,,,,,,,,,
,,Other,the cats is over the bowl,other,37408315,,,,,,,,,
,,Other,the cat is between the bowls,other,6385728295,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,on,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the dog is on the blanket,target,30182797,F2_Preposition_sentence_11,,M3_Preposition_sentence_11,,,5,2,1,
,,Foil 1,in the blanket,foil 1,10203010,,,,,,,,,
,,Foil 2,under the blanket,foil 2,35281393,,,,,,,,,
,,Foil 3,by the blanket,foil 3,69546235,,,,,,,,,
,,Other,blanket,other,30970388,,,,,,,,,
,,Other,dog,other,17161279,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,on,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the dog is on the bed,target,24813255,F2_Preposition_sentence_12,,,,,5,2,1,
,,Foil 1,in the bed,foil 1,23267043,,,,,,,,,
,,Foil 2,under the bed,foil 2,42172919,,,,,,,,,
