,,P2,the man drinks on the deck,close,210760174,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the man hoses on the deck,un,191824013,,,,,,,,,
,,Un,the man sits on the deck,un,210760105,,,,,,,,,
,,,,,,,,,,,,,,
17,sand,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,The guy sands at work,target,222272809,F1_Verb_IntransitivePP_17,,M3_Verb_IntransitivePP_17,,,3,5,1,
,,P1,The guy stands at work,mp,223069852,,,,,,,,,
,,P2,The guy scans at work,close,3322510,,,,,,,,,
,,P3,The guy fans at work,close,15009268,,,,,,,,,
,,S1,The guy chisels at work,coord,267558782,,,,,,,,,
,,S2,The guy hammers at work,coord,315475769,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
18,stand,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,The guy stands in the garage,target,223069852,F1_Verb_IntransitivePP_18,,M3_Verb_IntransitivePP_18,,,8,6,1,
,,P1,The guy sands in the garage,mp,222272809,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The guy lies in the garage,coord,249727981,,,,,,,,,
,,S2,The guy squats in the garage,coord,249434689,,,,,,,,,
,,Un,The guy sits in the garage,coord,216098971,,,,,,,,,
,,Un,The guy chisels in the garage,un,267558782,,,,,,,,,
,,,,,,,,,,,,,,
20,play,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,The boy plays with his family,target,284522891,F1_Verb_IntransitivePP_20,,M3_Verb_IntransitivePP_20,,,8,4,1,
,,P1,The boy pays with his family,mp,127336061,,,,,,,,,
,,P2,The boy prays with his family,mp,295211936,,,,,,,,,
,,P3,The boy lays with his family,mp,186947729,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,The boy reads with his family,un,205039681,,,,,,,,,
,,Un,The boy eats with his family,un,207786421,,,,,,,,,
,,,,,,,,,,,,,,
22,pray,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,The boy prays with his family,target,295211936,F1_Verb_IntransitivePP_22,,M3_Verb_IntransitivePP_22,,,6,4,1,
,,P1,The boy pays with his family,mp,127336061,,,,,,,,,
,,P2,The boy plays with his family,mp,284522891,,,,,,,,,
,,P3,The boy lays with his family,mp,186947729,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,The boy shops with his family,un,84276046,,,,,,,,,
,,Un,The boy eats with his family,un,207786421,,,,,,,,,
,,,,,,,,,,,,,,
24,clean,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,The man cleans in the kitchen,target,152942717,F1_Verb_IntransitivePP_24,,M3_Verb_IntransitivePP_24,,,6,5,1,
,,P1,The man leans in the kitchen,mp,238138774,,,,,,,,,
,,P2,The man clears in the kitchen,mp,84571393,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The man dries in the kitchen,coord,236457589,,,,,,,,,
,,S2,The man cooks in the kitchen,coord,45491364,,,,,,,,,
,,Un,The man works in the kitchen,un,5559412,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
25,lean,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,The man leans on the chair,target,29524403,F1_Verb_IntransitivePP_25,,M3_Verb_IntransitivePP_25,,,5,4,1,
,,P1,x,x,x,,,,,,,,,
,,P2,The man cleans on the chair,mp,169932134,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The man lies on the chair,coord,194875598,,,,,,,,,
,,S2,The man stands on the chair,coord,180409850,,,,,,,,,
,,Un,The man sits on the chair,coord,29524396,,,,,,,,,
,,Un,The mna streches on the chair,un,3259218,,,,,,,,,
,,,,,,,,,,,,,,
27,gallop,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,The horse gallops in the field,target,296131085,F1_Verb_IntransitivePP_27,,M3_Verb_IntransitivePP_27,,,4,6,2,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,The horse sleeps in the field,coord,269209058,,,,,,,,,
,,S1,The horse stands in the field,coord,234108850,,,,,,,,,
,,S2,The horse walks in the field,coord,310511342,,,,,,,,,
,,Un,The horse eats in the field,un,84453310,,,,,,,,,
,,Un,The horse jumps in the field,un,148809950,,,,,,,,,
,,,,,,,,,,,,,,
30,kneel,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,The adult kneels on the floor,target,271316276,F1_Verb_IntransitivePP_30,,M3_Verb_IntransitivePP_30,,,4,6,1,
,,P1,The adult deals on the floor,mp,110111678,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,The adult heals on the floor,mp,275135921,,,,,,,,,
,,S1,The adult sits on the floor,coord,313263626,,,,,,,,,
,,S2,The adult jumps on the floor,coord,185622278,,,,,,,,,
,,Un,The adult lies on the floor,coord,246792211,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
33,peek,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,the boy peeks in the park,target,26384143,F1_Verb_IntransitivePP_33,,M3_Verb_IntransitivePP_33,,,3,3,1,
,,P1,the boy speaks in the park,mp,202292431,,,,,,,,,
,,P2,the boy sneaks in the park,mp,204205264,,,,,,,,,
,,P3,the boy sweeps in the park,distant,247438306,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the boy plays in the park,un,126039770,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
34,build,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,the child builds during play time,target,105983540,F1_Verb_IntransitivePP_34,,M3_Verb_IntransitivePP_34,,,8,5,1,
,,P1,the child drills during play time,close,204591244,,,,,,,,,
,,P2,the child grills during play time,close,189968267,,,,,,,,,
,,P3,the child beads during play time,distant,334162937,,,,,,,,,
