,,P2,x,x,x,,,,,,,,,,,,,
,,P3,yolk,mp,120690565,,,,,,,,,,,,,
,,S1,cigar,assoc,126855932,,,,,,,,,,,,,
,,S2,matchbox,assoc,313630025,,,,,,,,,,,,,
,,Un,oak,un,101169685,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
10,net,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,net,target,7273203,,,M2_Noun_single_1syll_180,F1_Noun_single_1syll_180,,7,7,1,,,,,
,,P1,vet,mp,196926983,,,,,,,,,,,,,
,,P2,knot,mp,200609186,,,,,,,,,,,,,
,,P3,jet (ski),mp,255572965,,,,,,,,,,,,,
,,S1,ball,assoc,195946388,,,,,,,,,,,,,
,,S2,fish,assoc,164790890,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
11,bell,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,bell,target,941501,,,M2_Noun_single_1syll_183,F1_Noun_single_1syll_183,,7,7,1,,,,,
,,P1,hell,mp,134256908,,,,,,,,,,,,,
,,P2,shell,mp,50806008,,,,,,,,,,,,,
,,P3,cell,mp,183717002,,,,,,,,,,,,,
,,S1,church,assoc,24659568,,,,,,,,,,,,,
,,S2,school,assoc,77118403,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
12,pool,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,pool,target,114459544,,,M2_Noun_single_1syll_184,F1_Noun_single_1syll_184,,7,7,1,,,,,
,,P1,school,close,77118403,,,,,,,,,,,,,
,,P2,tool,mp,316114658,,,,,,,,,,,,,
,,P3,stool,close,258189785,,,,,,,,,,,,,
,,S1,sea,assoc,341825012,,,,,,,,,,,,,
,,S2,swimming suit,assoc,145492156,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
13,wave,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,wave,target,341825012,,,M2_Noun_single_1syll_185,F1_Noun_single_1syll_185,,7,7,1,,,,,
,,P1,cave,mp,175283300,,,,,,,,,,,,,
