,,P3,marker,close,65160763,,,,,,,,,
,,S1,cheese,assoc,4679416547,,,,,,,,,
,,S2,shop,coord,36599685,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,bathroom,,Linguistic unit,P type,Image ID,Male 1,Female 2,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,bathroom,Target,5689075,M1_Noun_single_2syll_13,F2_Noun_single_2syll_13,,,,7,7,2,
,,P1,bedroom,close,167662,,,,,,,,,
,,P2,bathrobe,close,189122438,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,living room,coord,51628836,,,,,,,,,
,,S2,bath,assoc,203151667,,,,,,,,,
,,Un,towel,assoc,72380854,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,mushroom,,Linguistic unit,P type,Image ID,Male 1,Female 2,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,mushroom,Target,65475254,M1_Noun_single_2syll_14,F2_Noun_single_2syll_14,,,,5,7,2,
,,P1,mansion,distant,70864330,,,,,,,,,
,,P2,martian,distant,288909992,,,,,,,,,
,,P3,mustard,distant,187432547,,,,,,,,,
,,S1,flower,assoc,175481372,,,,,,,,,
,,S2,onion,assoc,216613948,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,silver,,Linguistic unit,P type,Image ID,Male 1,Female 2,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,silver,Target,218030857,M1_Noun_single_2syll_15,F2_Noun_single_2syll_15,,,,8,7,2,
,,P1,sailor,close,302885411,,,,,,,,,
,,P2,saucer,distant,40776951,,,,,,,,,
,,P3,singer,distant,131682332,,,,,,,,,
,,S1,gold,coord,17808023,,,,,,,,,
,,S2,coin,assoc,255690187,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,ceiling,,Linguistic unit,P type,Image ID,Male 1,Female 2,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,ceiling,Target,95775232,M1_Noun_single_2syll_17,F2_Noun_single_2syll_17,,,,6,7,2,
,,P1,seating,mp,301132904,,,,,,,,,
,,P2,dealing,mp,8415454,,,,,,,,,
,,P3,peeling,mp,103256024,,,,,,,,,
,,S1,wall,coord,78006022,,,,,,,,,
,,S2,floor,coord,102143167,,,,,,,,,
,,Un,x,un,x,,,,,,,,,
,,Un,x,un,x,,,,,,,,,
,,,,,,,,,,,,,,
,hammer,,Linguistic unit,P type,Image ID,Male 1,Female 2,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,hammer,Target,151997177,M1_Noun_single_2syll_19,F2_Noun_single_2syll_19,,,,7,7,2,
,,P1,hamper,mp,11339844,,,,,,,,,
,,P2,hanger,mp,121274773,,,,,,,,,
,,P3,scanner,distant,3322510,,,,,,,,,
,,S1,saw,coord,114635122,,,,,,,,,
,,S2,spanner,coord,57316192,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,teapot,,Linguistic unit,P type,Image ID,Male 1,Female 2,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,teapot,Target,17010621,M1_Noun_single_2syll_22,F2_Noun_single_2syll_22,,,,5,7,2,
,,P1,teepee,close,170742665,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,tea,distant,244649245,,,,,,,,,
,,S1,coffee pot,coord,205042390,,,,,,,,,
,,S2,teacup,coord,33978516,,,,,,,,,
,,Un,kettle,coord,268744448,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,hanger,,Linguistic unit,P type,Image ID,Male 1,Female 2,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,hanger,Target,121274773,M1_Noun_single_2syll_24,F2_Noun_single_2syll_24,,,,4,7,2,
,,P1,hamper,mp,111235373,,,,,,,,,
,,P2,camper,mp,169194527,,,,,,,,,
,,P3,hammer,mp,151997177,,,,,,,,,
,,S1,coat,coord,282882188,,,,,,,,,
,,S2,hook,coord,47122173,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,building,,Linguistic unit,P type,Image ID,Male 1,Female 2,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,building,Target,45281382,M1_Noun_single_2syll_25,F2_Noun_single_2syll_25,,,,8,7,2,
,,P1,boiling,distant,130781807,,,,,,,,,
,,P2,builder,distant,121805014,,,,,,,,,
,,S1,lift,assoc,20398704,,,,,,,,,
